Sensor1(mm), Sensor2(mm), Sensor3(mm), ExpectedUtility
496.6629519827633, 0.0, 356.5767777119549, 0.765625
528.0168357098337, 0.0, 338.8288136725943, 0.78125
552.2143953080148, 0.0, 318.190542113068, 0.796875
576.5687030797592, 0.0, 298.3447339950765, 0.8125
598.0845882224654, 0.0, 273.98590359143003, 0.828125
621.5841221793057, 0.0, 253.59090423150732, 0.84375
646.2976175195101, 0.0, 236.5629362962539, 0.859375
669.2636312811363, 0.0, 217.34453062209738, 0.875
685.93067440305, 0.0, 188.23089545887305, 0.890625
713.2859424304776, 0.0, 178.12129454363233, 0.90625
731.3557246597741, 0.0, 155.6004098941798, 0.921875
745.9950576857144, 0.0, 128.90519748206484, 0.9375
777.5678520681113, 0.0, 125.88927722773022, 0.953125
782.3324883726568, 0.0, 88.82741432028537, 0.96875
814.5529897075961, 0.0, 95.71206792237909, 0.984375
800.0919728040243, 0.0, 46.367163332985164, 1

726.6267723280015, 1297.4861381922383, 779.3542198512818, 0.018181818181817876
676.0441163835443, 1261.7095424148267, 779.3542198512818, 0.03636363636363606
628.5225735345363, 1257.055976762747, 779.3542198512818, 0.05454545454545424
602.4413690282136, 1205.156727524593, 779.3542198512818, 0.07272727272727242
576.581045755366, 1171.006393362149, 779.3542198512818, 0.0909090909090906
551.5880228302352, 1146.0189785142131, 779.3542198512818, 0.1090909090909088
527.4276329874507, 1122.7543415759442, 779.3542198512818, 0.12727272727272698
504.429302910361, 1096.5982688464376, 779.3542198512818, 0.14545454545454517
477.69689341156334, 1073.7293484105392, 779.3542198512818, 0.16363636363636336
452.7148609361732, 1056.2516954225562, 779.3542198512818, 0.18181818181818155
427.7128827594908, 1030.758377842041, 779.3542198512818, 0.19999999999999973
402.7001412391054, 1002.9201897572352, 779.3542198512818, 0.21818181818181792
378.46739602981194, 977.3474121597891, 779.3542198512818, 0.2363636363636361
352.9891188071085, 952.4206785721844, 779.3542198512818, 0.2545454545454543
327.96349091611415, 927.3919416869393, 779.3542198512818, 0.2727272727272725
302.98278743258345, 905.6506244519657, 779.3542198512818, 0.2909090909090907
278.3706094128724, 881.1966509473816, 779.3542198512818, 0.30909090909090886
253.30548304225405, 857.4639441208137, 779.3542198512818, 0.32727272727272705
228.14733717362685, 831.3709368914743, 779.3542198512818, 0.34545454545454524
203.24038915488666, 805.9229601443171, 779.3542198512818, 0.3636363636363634
180.72314558940076, 788.9345322298656, 779.3542198512818, 0.3818181818181816
154.52357840131495, 783.3464011241695, 779.3542198512818, 0.3999999999999998
129.3262969774532, 743.1889921808491, 779.3542198512818, 0.418181818181818
104.18326555224773, 720.2817106870792, 779.3542198512818, 0.4363636363636362
79.4823249680409, 693.1281271918862, 779.3542198512818, 0.45454545454545436
54.44530148821927, 672.6291029756457, 779.3542198512818, 0.47272727272727255
0.0, 628.903375857968, 750.3122910814476, 0.49090909090909074
0.0, 663.8729508752076, 747.1848933573548, 0.5090909090909089
0.0, 704.4313803888407, 706.879925996798, 0.5272727272727271
0.0, 684.1658366984368, 645.3691724189664, 0.5454545454545453
0.0, 684.8525494749252, 617.9144060147611, 0.5636363636363635
0.0, 693.3062045057741, 594.10566015138, 0.5818181818181817
0.0, 680.2532977602451, 570.6752493603552, 0.5999999999999999
0.0, 674.4928391540906, 548.3432260994311, 0.618181818181818
0.0, 665.6135238674603, 525.4073014644564, 0.6363636363636362
0.0, 652.5206709398852, 501.04022433768387, 0.6545454545454544
0.0, 646.244061291698, 479.3582993118276, 0.6727272727272726
0.0, 631.9413467778545, 454.04789597378186, 0.6909090909090908
0.0, 619.6468134721677, 429.75353917281717, 0.709090909090909
0.0, 614.4645985234538, 407.95261753322046, 0.7272727272727272
0.0, 583.086096227081, 379.0854008643752, 0.7454545454545454
0.0, 581.732178895066, 355.9623829887633, 0.7636363636363636
0.0, 569.9177773047876, 330.92012426990965, 0.7818181818181817
0.0, 555.8250908747591, 305.58220865317, 0.7999999999999999
0.0, 550.33877682387, 282.1675503828015, 0.8181818181818181
0.0, 538.0241175955374, 256.40138600652983, 0.8363636363636363
0.0, 539.4932786580259, 234.57289441426894, 0.8545454545454545
0.0, 526.7422044239722, 208.02048305400191, 0.8727272727272727
0.0, 518.3911135230305, 183.31401712917724, 0.8909090909090909
0.0, 518.8750472260305, 160.0140131270327, 0.9090909090909091
0.0, 513.4809353272307, 135.32760242961197, 0.9272727272727272
0.0, 499.05207330829614, 108.90334985292431, 0.9454545454545454
0.0, 495.8001161483936, 84.34600816941023, 0.9636363636363636
0.0, 490.02288587623576, 59.181026036393945, 0.9818181818181818
0.0, 479.6637847330099, 33.98197362489838, 1

991.6757142049615, 1530.992815030958, 1039.9370173236455, 0.013333333333334698
933.8332149458938, 1494.0660370585476, 1039.9370173236455, 0.026666666666668032
885.7802155235554, 1463.4937994681425, 1039.9370173236455, 0.04000000000000137
860.3801636546624, 1463.3702831787098, 1039.9370173236455, 0.053333333333334704
835.3771616057969, 1461.999312604361, 1039.9370173236455, 0.06666666666666804
810.3771067808322, 1444.8355497810003, 1039.9370173236455, 0.08000000000000138
785.6685577612737, 1425.503514586208, 1039.9370173236455, 0.09333333333333471
761.211055522315, 1420.0971689438281, 1039.9370173236455, 0.10666666666666805
735.7115463176859, 1379.805218319326, 1039.9370173236455, 0.12000000000000138
710.7196227042839, 1353.8583456833187, 1039.9370173236455, 0.13333333333333472
685.7132606407292, 1334.1099795236998, 1039.9370173236455, 0.14666666666666806
660.7269778602252, 1306.6512065551683, 1039.9370173236455, 0.1600000000000014
635.9213163269983, 1285.6984287620558, 1039.9370173236455, 0.17333333333333473
611.1413344473167, 1264.942650290547, 1039.9370173236455, 0.18666666666666806
586.0900442074103, 1238.485713331488, 1039.9370173236455, 0.2000000000000014
561.0078057557118, 1211.038049261534, 1039.9370173236455, 0.21333333333333473
