Sensor1(mm), Sensor2(mm), Sensor3(mm), ExpectedUtility
0.0, 578.7134850977685, 341.69764055676546, 1.87152459377e-13
0.0, 581.0755953047179, 317.16652234262637, 6.88495421694e-14
0.0, 583.069744338409, 292.2618339345125, 2.53283310982e-14
0.0, 583.6636038319114, 267.1871712553158, 9.31777229021e-15
0.0, 582.0378113737139, 242.03398862966614, 3.42781686308e-15
0.0, 582.4850746258631, 217.13419199078425, 1.26102335203e-15
0.0, 586.608149035533, 192.48810891217926, 4.63904566049e-16
0.0, 590.1227336187779, 168.31399847700968, 1.70660952515e-16
0.0, 592.1978694219497, 143.98807273473128, 6.2782655841e-17
0.0, 591.4029071291876, 118.09990522348387, 2.3096448346e-17
0.0, 592.5867783762941, 93.418107355165, 8.49670851058e-18
0.0, 594.093782768811, 68.26033560488129, 3.12576437867e-18
0.0, 594.929158613131, 43.90376297412373, 1.14990445286e-18

882.6363522923672, 2323.7771755922518, 1721.2443173471918, 1
858.8070957538561, 2325.0500896858807, 1721.2443173471918, 0.735758882343
834.0862522957453, 2318.337846435941, 1721.2443173471918, 0.270670566473
808.450341562909, 2325.1909699410753, 1721.2443173471918, 0.0995741367357
783.7366689601655, 2323.8275968660446, 1721.2443173471918, 0.0366312777775
758.7380711356311, 2325.243583804836, 1721.2443173471918, 0.0134758939982
733.8084771126049, 2325.252600351546, 1721.2443173471918, 0.00495750435333
709.8607160070641, 2323.976091475878, 1721.2443173471918, 0.00182376393111
684.3637908899914, 2324.476969961682, 1721.2443173471918, 0.000670925255805
659.3138330488067, 2323.8813998764326, 1721.2443173471918, 0.000246819608173
634.2691340494976, 2325.17267864507, 1721.2443173471918, 9.0799859525e-05
613.5313244392185, 2325.0775394174148, 1721.2443173471918, 3.34034015805e-05
585.7271186561725, 2323.177102341118, 1721.2443173471918, 1.22884247067e-05
560.6361785962605, 2324.8922889614505, 1721.2443173471918, 4.52065881396e-06
535.7145213979352, 2324.9224609396024, 1721.2443173471918, 1.66305743821e-06
510.7792690815223, 2320.345887974627, 1721.2443173471918, 6.11804641004e-07
487.4627551206101, 2324.435090264859, 1721.2443173471918, 2.25070349439e-07
461.48885147872886, 2324.813224085981, 1721.2443173471918, 8.27987543757e-08
436.9485328133577, 2325.2505165971784, 1721.2443173471918, 3.04599594894e-08
411.8366869363312, 2321.7298110721645, 1721.2443173471918, 1.12055928751e-08
386.7775847326774, 2324.141879035815, 1721.2443173471918, 4.12230724488e-09
361.86266523281466, 2324.7389651716953, 1721.2443173471918, 1.51651208558e-09
337.2848568802223, 2324.5980852896755, 1721.2443173471918, 5.57893618574e-10
312.4537235061931, 2325.1279696277707, 1721.2443173471918, 2.05237592634e-10
287.05930101566327, 2325.2537939564595, 1721.2443173471918, 7.55026908856e-11
262.82914737114965, 2324.392703595369, 1721.2443173471918, 2.77758877299e-11
237.35849636050423, 2325.24321416375, 1721.2443173471918, 1.02181780561e-11
212.34318023408483, 2324.150668309744, 1721.2443173471918, 3.75905763308e-12
187.3593175861124, 2324.37414627304, 1721.2443173471918, 1.38288002139e-12
162.63963917604363, 2320.782203018347, 1721.2443173471918, 5.08733129475e-13
137.85179439697262, 2324.9043426977382, 1721.2443173471918, 1.87152459377e-13
112.6122611695253, 2320.5710180328765, 1721.2443173471918, 6.88495421694e-14
87.7464819829322, 2324.92199525932, 1721.2443173471918, 2.53283310982e-14
64.60231306809025, 2324.837401485017, 1721.2443173471918, 9.31777229021e-15
0.0, 2286.226048762961, 1683.5526840604775, 3.42781686308e-15
0.0, 2278.681208907258, 1682.8031091256098, 1.26102335203e-15
0.0, 2229.4667525485233, 1633.9831943092272, 4.63904566049e-16
0.0, 2180.124103773832, 1578.5248919003304, 1.70660952515e-16
0.0, 2152.241667312042, 1549.3616359619195, 6.2782655841e-17
0.0, 2125.2506946402723, 1524.6834693628068, 2.3096448346e-17
0.0, 2102.5255294584335, 1499.4927566059293, 8.49670851058e-18
0.0, 2076.469006408082, 1475.369930369121, 3.12576437867e-18
0.0, 2052.5052528733327, 1450.6455198585472, 1.14990445286e-18
0.0, 2023.5848704714103, 1425.3634104872535, 4.23026207518e-19
0.0, 2003.5761682354855, 1400.4804007359858, 1.55622644823e-19
0.0, 1976.3586032167404, 1375.5810593625663, 5.7250371611e-20
0.0, 1953.330451140068, 1350.4993333555449, 2.10612347151e-20
0.0, 1928.577063741373, 1325.4128730729503, 7.74799525737e-21
0.0, 1898.6333145734088, 1300.625242691235, 2.85032816548e-21
0.0, 1876.3910361315588, 1275.582915227607, 1.04857713267e-21
0.0, 1854.323703617092, 1252.1941396443303, 3.85749969593e-22
0.0, 1829.913096610967, 1227.3151552082504, 1.41909483246e-22
0.0, 1805.0922235591324, 1201.6137054835983, 5.22055813934e-23
0.0, 1778.5310637199127, 1176.587431029417, 1.9205360109e-23
0.0, 1752.4418110961938, 1152.2081484232851, 7.0652571444e-24
0.0, 1722.376791432548, 1127.4562316952063, 2.59916285002e-24
0.0, 1703.6526125170053, 1102.2083284550952, 9.56178576777e-25
0.0, 1679.3311970998548, 1077.063227403838, 3.51758440485e-25
0.0, 1652.872655257922, 1052.1955640972767, 1.29404698513e-25
0.0, 1629.121392462424, 1027.3551983643174, 4.76053281739e-26
0.0, 1604.4110314437244, 1002.5398451799866, 1.75130215254e-26
0.0, 1579.6486504323443, 977.3033710980733, 6.44268057199e-27
0.0, 1556.688642506712, 953.701593346643, 2.37012972847e-27
0.0, 1531.6717585080214, 928.7807888523329, 8.71922000013e-28
0.0, 1506.6354487818098, 903.2843877688832, 3.2076217811e-28
0.0, 1479.8418469721694, 878.1726946803822, 1.18001810832e-28
0.0, 1450.4358731700706, 854.6528317049002, 4.34104402261e-29
0.0, 1431.6859087648968, 828.6821629071235, 1.59698084914e-29
0.0, 1406.4076945295405, 803.7306746702087, 5.87496422342e-30
0.0, 1381.5232334916261, 778.8645385010751, 2.16127855541e-30
0.0, 1358.065630019407, 755.0542836352505, 7.95089947182e-31
